      t         y1        y2      check
  13.30000  -1.58260  -0.31348   2.60289
  13.35000  -1.59827  -0.06620   2.55886
  13.40000  -1.60158   0.18353   2.59875
  13.45000  -1.59241   0.43378   2.72392
  13.50000  -1.57072   0.68259   2.93309
  13.55000  -1.53659   0.92801   3.22232
  13.60000  -1.49019   1.16811   3.58513
  13.65000  -1.43178   1.40095   4.01266
  13.70000  -1.36174   1.62466   4.49386
  13.75000  -1.28050   1.83744   5.01586
  13.80000  -1.18863   2.03751   5.56431
  13.85000  -1.08676   2.22324   6.12382
  13.90000  -0.97559   2.39304   6.67844
  13.95000  -0.85594   2.54548   7.21210
  14.00000  -0.72867   2.67922   7.70918
  14.05000  -0.59471   2.79307   8.15494
  14.10000  -0.45505   2.88600   8.53605
  14.15000  -0.31075   2.95710   8.84100
  14.20000  -0.16290   3.00565   9.06049
  14.25000  -0.01262   3.03111   9.18777
  14.30000   0.13894   3.03308   9.21887
  14.35000   0.29059   3.01137   9.15279
  14.40000   0.44116   2.96596   8.99156
  14.45000   0.58946   2.89703   8.74026
  14.50000   0.73431   2.80493   8.40684
  14.55000   0.87456   2.69019   8.00199
  14.60000   1.00907   2.55354   7.53880
  14.65000   1.13675   2.39588   7.03241
  14.70000   1.25654   2.21826   6.49956
  14.75000   1.36745   2.02192   5.95811
  14.80000   1.46855   1.80826   5.42644
  14.85000   1.55896   1.57880   4.92297
  14.90000   1.63790   1.33521   4.46551
  14.95000   1.70466   1.07929   4.07074
  15.00000   1.75863   0.81294   3.75363
  15.05000   1.79927   0.53815   3.52699
  15.10000   1.82618   0.25701   3.40099
  15.15000   1.83903  -0.02833   3.38284
  15.20000   1.83762  -0.31568   3.47648
  15.25000   1.82183  -0.60280   3.68244
  15.30000   1.79169  -0.88746   3.99775
  15.35000   1.74732  -1.16742   4.41598
  15.40000   1.68895  -1.44043   4.92739
  15.45000   1.61693  -1.70433   5.51920
  15.50000   1.53171  -1.95698   6.17589
  15.55000   1.43386  -2.19631   6.87972
  15.60000   1.32405  -2.42035   7.61117
  15.65000   1.20303  -2.62723   8.34961
  15.70000   1.07167  -2.81520   9.07383
  15.75000   0.93091  -2.98265   9.76279
  15.80000   0.78177  -3.12810  10.39620
  15.85000   0.62537  -3.25026  10.95525
  15.90000   0.46286  -3.34797  11.42314
  15.95000   0.29546  -3.42029  11.78569
  16.00000   0.12444  -3.46646  12.03181
  16.05000  -0.04888  -3.48590  12.15389
  16.10000  -0.22318  -3.47826  12.14812
  16.15000  -0.39709  -3.44339  12.01463
  16.20000  -0.56926  -3.38135  11.75756
  16.25000  -0.73833  -3.29240  11.38502
  16.30000  -0.90295  -3.17704  10.90887
  16.35000  -1.06180  -3.03595  10.34442
  16.40000  -1.21359  -2.87005   9.70998
  16.45000  -1.35710  -2.68042   9.02637
  16.50000  -1.49112  -2.46838   8.31631
  16.55000  -1.61454  -2.23539   7.60369
  16.60000  -1.72631  -1.98312   6.91289
  16.65000  -1.82546  -1.71338   6.26799
  16.70000  -1.91113  -1.42815   5.69204
  16.75000  -1.98254  -1.12954   5.20632
  16.80000  -2.03902  -0.81977   4.82960
  16.85000  -2.08000  -0.50117   4.57759
  16.90000  -2.10506  -0.17617   4.46232
